ID,Language,Probability,ObjectKnowledge1Code,MachineKnowledge1Code,ObjectKnowledge2Code,MachineKnowledge2Code,EstimatePercentage1,EstimatePercentage2
766,1,90,2,2,2,2,100,100
767,1,90,2,2,1,1,75,76
768,1,90,1,1,1,1,90,90
769,1,90,1,1,1,1,90,90
770,1,90,2,2,2,2,10,95
771,1,90,1,1,1,1,90,90
772,1,90,2,1,2,2,80,90
773,1,90,2,1,2,2,10,11
774,1,90,1,1,1,1,90,90
775,1,90,2,2,2,2,80,90
776,1,90,2,2,2,2,90,90
777,1,90,1,0,1,1,90,90
841,1,100,1,1,0,0,100,0
842,1,100,2,2,2,2,100,100
843,1,100,2,2,2,2,100,100
844,1,100,2,1,2,1,100,100
845,1,100,2,2,1,1,100,100
846,1,100,1,2,1,2,50,10
847,1,100,1,1,1,1,1,25
848,1,100,2,2,1,1,100,100
849,1,100,1,2,1,2,100,100
850,1,100,2,2,2,2,100,100
851,1,100,2,2,2,2,100,100
852,1,100,2,2,2,2,90,100
853,1,100,1,1,1,1,100,100
854,1,100,2,2,1,2,33,33
855,1,100,1,1,1,1,100,100
856,1,100,1,1,2,1,95,95
857,1,100,2,1,2,2,100,100
858,1,100,2,2,2,2,100,100
859,1,100,1,1,1,1,100,100
860,1,100,1,1,2,2,80,90
861,1,100,2,2,2,2,100,100
862,1,100,1,1,1,1,100,100
863,1,100,1,1,1,1,100,100
864,1,100,2,2,2,2,100,100
865,1,100,1,1,0,1,80,90
866,1,100,1,1,1,1,100,100
867,1,100,2,1,2,1,100,100
868,1,100,2,2,2,2,100,100
869,1,100,0,0,0,1,40,30
870,1,100,1,2,2,2,40,50
871,1,100,1,1,1,1,50,100
872,1,100,2,2,2,2,100,100
873,1,100,1,1,1,1,100,100
31,2,10,2,2,1,1,10,10
32,2,10,1,1,1,1,10,10
33,2,10,1,1,1,1,10,10
34,2,10,1,1,1,0,1,1
35,2,10,1,2,1,1,10,10
36,2,10,2,2,2,2,99,99
37,2,10,0,0,0,0,3,3
38,2,10,1,1,1,1,10,10
39,2,10,1,1,1,1,10,10
40,2,10,2,2,1,2,100,100
41,2,10,0,0,1,1,1,1
42,2,10,1,1,1,1,10,10
43,2,10,1,1,1,1,10,10
44,2,10,1,1,2,2,100,100
45,2,10,2,2,2,2,50,10
46,2,10,1,1,0,0,60,90
47,2,10,2,1,1,1,35,50
48,2,10,1,1,1,1,10,10
49,2,10,1,1,1,1,10,10
50,2,10,1,1,1,1,10,10
51,2,10,0,0,1,0,10,10
52,2,10,0,0,0,0,30,35
53,2,10,0,0,0,0,20,10
54,2,10,1,1,1,1,10,10
55,2,10,1,1,1,1,10,10
56,2,10,1,1,1,1,75,10
57,2,10,1,1,1,1,10,10
58,2,10,1,1,1,1,10,10
59,2,10,1,1,1,1,50,80
60,2,10,0,0,0,0,50,50
61,2,10,1,1,1,1,5,5
62,2,10,1,1,1,1,10,10
63,2,10,1,1,1,1,10,10
127,2,20,1,1,1,1,100,100
128,2,20,2,1,2,1,20,10
129,2,20,1,1,1,1,10,10
130,2,20,1,1,1,1,20,20
131,2,20,1,1,1,1,30,30
132,2,20,2,2,2,2,20,20
133,2,20,2,2,2,2,95,95
134,2,20,2,2,2,2,100,100
135,2,20,1,1,0,0,20,15
136,2,20,1,1,1,1,25,20
137,2,20,1,1,1,1,20,20
138,2,20,1,1,1,1,20,20
139,2,20,1,1,2,2,50,50
140,2,20,1,1,1,1,10,15
141,2,20,1,1,1,0,20,20
142,2,20,2,2,2,2,75,65
143,2,20,1,1,1,1,30,20
144,2,20,2,2,1,1,30,20
145,2,20,2,2,2,2,20,20
146,2,20,1,1,1,1,10,10
147,2,20,1,1,1,1,30,1
148,2,20,2,1,1,1,70,85
149,2,20,1,1,1,1,20,20
150,2,20,0,0,0,0,20,20
151,2,20,1,1,1,1,25,20
152,2,20,1,1,1,1,20,20
153,2,20,0,0,0,0,20,20
154,2,20,1,1,1,1,20,20
155,2,20,1,0,1,0,30,20
